Fechamento Mensal
Localidade	Status
BR 14-0445 - DISTRITO DE IGUATEMI	Encerrado
BR 14-0601 - MARINGÁ - CENTRO	Encerrado
BR 14-0602 - VILA SANTO ANTÔNIO	Encerrado
BR 14-0603 - VILA OPERÁRIA	Encerrado
BR 14-0605 - JARDIM ALVORADA	Encerrado
BR 14-0606 - VILA SANTA IZABEL	Encerrado
BR 14-0607 - VILA MORANGUEIRA	Encerrado
BR 14-1115 - DISTRITO DE FLORIANO	Encerrado
BR 14-1116 - PARQUE RESIDENCIAL TUIUTI	Encerrado
BR 14-1118 - JARDIM VITÓRIA	Encerrado
BR 14-1399 - JARDIM VERÔNICA	Encerrado
BR 14-1400 - JARDIM LIBERDADE	Encerrado
BR 14-1518 - PARQUE ITAIPU	Aberto
BR 14-1611 - PARQUE HORTÊNCIA - 1ª PARTE	Encerrado
BR 14-1612 - JARDIM ALVORADA III - EBENEZER	Encerrado
BR 14-1613 - PARQUE RESIDENCIAL AEROPORTO - 3ª PARTE	Encerrado
BR 14-1614 - JARDIM CATEDRAL	Encerrado
BR 14-1615 - PARQUE DAS LARANJEIRAS	Encerrado
BR 14-1635 - JARDIM PIATÃ	Aberto
BR 14-1636 - CONJUNTO REQUIÃO	Encerrado
BR 14-1686 - JARDIM UNIVERSO	Encerrado
BR 14-1748 - PARQUE AVENIDA	Encerrado
BR 14-1749 - JARDIM OLÍMPICO	Encerrado
BR 14-1970 - CONJUNTO RESIDENCIAL GUAIAPÓ	Encerrado
BR 14-2119 - JARDIM CONTINENTAL	Encerrado
BR 14-2174 - JARDIM OURO COLA	Encerrado
BR 14-2278 - JARDIM ORIENTAL - BELA VISTA	Encerrado
BR 14-2296 - JARDIM MONTE REI	Encerrado
BR 14-2345 - PARQUE TARUMÃ	Encerrado
BR 14-2362 - ZONA 6 - MARINGÁ VELHO	Encerrado
BR 14-2380 - JARDIM ORIENTAL - DIAMANTE	Encerrado
BR 14-2402 - LOTEAMENTO SUMARÉ	Encerrado
BR 14-2446 - GLEBA PATRIMÔNIO MARINGÁ - JARDIM INDAIÁ	Encerrado
BR 14-2601 - JARDIM ESPANHA	Encerrado
XX 14-1935 - JARDIM MONTREAL	Aberto
